,date,btc_average
802,2018-11-18,5677.585
803,2018-11-17,5611.015
804,2018-11-16,5666.07
805,2018-11-15,5671.48
806,2018-11-14,6069.855
807,2018-11-13,6444.575
808,2018-11-12,6459.0
809,2018-11-11,6408.57
810,2018-11-10,6443.275
811,2018-11-09,6451.27
812,2018-11-08,6531.110000000001
813,2018-11-07,6562.075
814,2018-11-06,6488.245000000001
815,2018-11-05,6467.705
816,2018-11-04,6442.0
817,2018-11-03,6392.485000000001
818,2018-11-02,6424.27
819,2018-11-01,6395.655
820,2018-10-31,6336.51
821,2018-10-30,6356.005
822,2018-10-29,6410.005
823,2018-10-28,6483.585
824,2018-10-27,6510.695
825,2018-10-26,6557.505
826,2018-10-25,6538.945
827,2018-10-24,6588.764999999999
828,2018-10-23,6555.225
829,2018-10-22,6587.135
830,2018-10-21,6621.95
831,2018-10-20,6561.6
832,2018-10-19,6585.57
833,2018-10-18,6681.5
834,2018-10-17,6743.5650000000005
835,2018-10-16,6785.0
836,2018-10-15,6990.0
837,2018-10-14,6362.0
838,2018-10-13,6315.035
839,2018-10-12,6284.5
840,2018-10-11,6419.46
841,2018-10-10,6594.975
842,2018-10-09,6646.1900000000005
843,2018-10-08,6651.3
844,2018-10-07,6582.5
845,2018-10-06,6608.885
846,2018-10-05,6620.04
847,2018-10-04,6574.275
848,2018-10-03,6489.5
849,2018-10-02,6567.0
850,2018-10-01,6588.545
851,2018-09-30,6597.5
852,2018-09-29,6550.285
853,2018-09-28,6677.84
854,2018-09-27,6592.0
855,2018-09-26,6468.844999999999
856,2018-09-25,6454.515
857,2018-09-24,6643.5
858,2018-09-23,6724.99
859,2018-09-22,6733.014999999999
860,2018-09-21,6637.93
861,2018-09-20,6432.5
862,2018-09-19,6320.35
863,2018-09-18,6307.49
864,2018-09-17,6367.42
865,2018-09-16,6447.3099999999995
866,2018-09-15,6515.79
867,2018-09-14,6485.305
868,2018-09-13,6436.2
869,2018-09-12,6276.1849999999995
870,2018-09-11,6286.84
871,2018-09-10,6297.49
872,2018-09-09,6291.264999999999
873,2018-09-08,6294.5
874,2018-09-07,6432.0
875,2018-09-06,6495.0
876,2018-09-05,7039.65
877,2018-09-04,7318.585
878,2018-09-03,7264.955
879,2018-09-02,7236.225
880,2018-09-01,7141.87
881,2018-08-31,6988.5
882,2018-08-30,6924.22
883,2018-08-29,7023.075000000001
884,2018-08-28,6997.5
885,2018-08-27,6793.505
886,2018-08-26,6671.635
887,2018-08-25,6719.805
888,2018-08-24,6582.75
889,2018-08-23,6459.635
890,2018-08-22,6566.87
891,2018-08-21,6367.54
892,2018-08-20,6375.0
893,2018-08-19,6420.5
894,2018-08-18,6454.0
895,2018-08-17,6435.2
896,2018-08-16,6342.8
897,2018-08-15,6390.555
898,2018-08-14,6065.165
899,2018-08-13,6345.02
900,2018-08-12,6301.15
901,2018-08-11,6229.5
902,2018-08-10,6301.135
903,2018-08-09,6400.705
904,2018-08-08,6422.27
905,2018-08-07,6910.23
906,2018-08-06,6990.5
907,2018-08-05,6986.08
908,2018-08-04,7210.405000000001
909,2018-08-03,7411.219999999999
910,2018-08-02,7582.59
911,2018-08-01,7590.0
912,2018-07-31,7906.5
913,2018-07-30,8069.5
914,2018-07-29,8204.755000000001
915,2018-07-28,8156.77
916,2018-07-27,8045.0
917,2018-07-26,8082.875
918,2018-07-25,8270.885
919,2018-07-24,8091.0
920,2018-07-23,7604.0
921,2018-07-22,7458.95
922,2018-07-21,7334.735000000001
923,2018-07-20,7486.5
924,2018-07-19,7423.139999999999
925,2018-07-18,7406.73
926,2018-07-17,7060.514999999999
927,2018-07-16,6538.85
928,2018-07-15,6310.2
929,2018-07-14,6256.5
930,2018-07-13,6230.0
931,2018-07-12,6225.139999999999
932,2018-07-11,6342.495
933,2018-07-10,6472.0
934,2018-07-09,6707.15
935,2018-07-08,6723.719999999999
936,2018-07-07,6663.52
937,2018-07-06,6536.77
938,2018-07-05,6582.665
939,2018-07-04,6613.014999999999
940,2018-07-03,6571.18
941,2018-07-02,6478.3099999999995
942,2018-07-01,6346.030000000001
943,2018-06-30,6357.51
944,2018-06-29,6040.0
945,2018-06-28,6000.005
946,2018-06-27,6080.715
947,2018-06-26,6153.77
948,2018-06-25,6205.985000000001
949,2018-06-24,6004.9
950,2018-06-23,6134.24
951,2018-06-22,6326.455
952,2018-06-21,6733.785
953,2018-06-20,6684.52
954,2018-06-19,6747.37
955,2018-06-18,6587.1900000000005
956,2018-06-17,6505.514999999999
957,2018-06-16,6440.43
958,2018-06-15,6514.485000000001
959,2018-06-14,6490.0
